category_title;word;count
Entertainment        ;mom;8
Entertainment        ;movies;8
Entertainment        ;never;8
Entertainment        ;nick;8
Entertainment        ;office;8
Entertainment        ;people;8
Entertainment        ;perfect;8
Entertainment        ;pizza;8
Entertainment        ;pregnancy;8
Entertainment        ;reaction;8
Entertainment        ;ryan;8
Entertainment        ;saoirse;8
Entertainment        ;speech;8
Entertainment        ;spot;8
Entertainment        ;stuff;8
Entertainment        ;takes;8
Entertainment        ;talent;8
Entertainment        ;theaters;8
Entertainment        ;tom;8
Entertainment        ;versus;8
Entertainment        ;white;8
Gaming               ;game;8
Lifestyle            ;aina;8
Lifestyle            ;behind;8
Lifestyle            ;car;8
Lifestyle            ;chicken;8
Lifestyle            ;cookies;8
Lifestyle            ;cosmetics;8
Lifestyle            ;dogs;8
Lifestyle            ;have;8
Lifestyle            ;hit;8
Lifestyle            ;jackie;8
Lifestyle            ;james;8
Lifestyle            ;japanese;8
Lifestyle            ;more;8
Lifestyle            ;national;8
Lifestyle            ;over;8
Lifestyle            ;perfect;8
Lifestyle            ;questions;8
Lifestyle            ;scran;8
Lifestyle            ;secrets;8
Lifestyle            ;shape;8
Lifestyle            ;skills;8
Lifestyle            ;special;8
Lifestyle            ;sweet;8
Lifestyle            ;tape;8
Lifestyle            ;trying;8
Lifestyle            ;viralhog;8
Lifestyle            ;vlogmas;8
Lifestyle            ;watch;8
Lifestyle            ;â€”;8
Music                ;2;8
Music                ;big;8
Music                ;billboard;8
Music                ;go;8
Music                ;grammys;8
Music                ;kelly;8
Music                ;kendrick;8
Music                ;khalid;8
Music                ;making;8
Music                ;marshmello;8
Music                ;only;8
Music                ;pentatonix;8
Music                ;same;8
Music                ;smith;8
Science & Politics   ;1;8
Science & Politics   ;amazon;8
Science & Politics   ;bill;8
Science & Politics   ;bowl;8
Science & Politics   ;during;8
Science & Politics   ;has;8
Science & Politics   ;jones;8
Science & Politics   ;life;8
Science & Politics   ;makes;8
Science & Politics   ;moon;8
Science & Politics   ;msnbc;8
Science & Politics   ;national;8
Science & Politics   ;off;8
Science & Politics   ;official;8
Science & Politics   ;part;8
Science & Politics   ;person;8
Science & Politics   ;samsung;8
Science & Politics   ;see;8
Science & Politics   ;sexual;8
Science & Politics   ;should;8
Science & Politics   ;white;8
Science & Politics   ;world;8
Science & Politics   ;worlds;8
Science & Politics   ;â€”;8
Sports               ;15;8
Sports               ;champions;8
Sports               ;football;8
Sports               ;goes;8
Sports               ;kevin;8
Sports               ;live;8
Sports               ;playoffs;8
Sports               ;reacts;8
Sports               ;recap;8
Sports               ;team;8
Sports               ;ufc;8
Theater & Animation  ;5;8
Theater & Animation  ;avengers;8
Theater & Animation  ;baby;8
Theater & Animation  ;edition;8
Theater & Animation  ;mancuso;8
Theater & Animation  ;music;8
Theater & Animation  ;pictures;8
Theater & Animation  ;why;8
Theater & Animation  ;â€”;8
Entertainment        ;100;7
Entertainment        ;16;7
Entertainment        ;amazon;7
Entertainment        ;appã©tit;7
Entertainment        ;back;7
Entertainment        ;being;7
Entertainment        ;bon;7
Entertainment        ;cabello;7
Entertainment        ;clip;7
Entertainment        ;dance;7
Entertainment        ;donald;7
Entertainment        ;drop;7
Entertainment        ;family;7
Entertainment        ;fashion;7
Entertainment        ;franco;7
Entertainment        ;friends;7
Entertainment        ;girl;7
Entertainment        ;go;7
Entertainment        ;gq;7
Entertainment        ;grace;7
Entertainment        ;harry;7
Entertainment        ;ice;7
Entertainment        ;iphone;7
Entertainment        ;japanese;7
Entertainment        ;joe;7
Entertainment        ;just;7
Entertainment        ;kardashians;7
Entertainment        ;kitchen;7
Entertainment        ;learned;7
Entertainment        ;made;7
Entertainment        ;making;7
Entertainment        ;man;7
Entertainment        ;mark;7
Entertainment        ;meet;7
Entertainment        ;meets;7
Entertainment        ;mic;7
Entertainment        ;mo;7
Entertainment        ;motion;7
Entertainment        ;much;7
Entertainment        ;nail;7
Entertainment        ;national;7
Entertainment        ;oprah;7
Entertainment        ;party;7
Entertainment        ;paul;7
Entertainment        ;player;7
Entertainment        ;queen;7
Entertainment        ;riverdale;7
Entertainment        ;ronan;7
Entertainment        ;room;7
Entertainment        ;rupauls;7
Entertainment        ;says;7
Entertainment        ;school;7
Entertainment        ;sean;7
Entertainment        ;shawn;7
Entertainment        ;shows;7
Entertainment        ;special;7
Entertainment        ;spoilers;7
Entertainment        ;stranger;7
Entertainment        ;too;7
Entertainment        ;tour;7
Entertainment        ;tried;7
Entertainment        ;wants;7
Entertainment        ;weird;7
Entertainment        ;where;7
Entertainment        ;year;7
Lifestyle            ;30;7
Lifestyle            ;ad;7
Lifestyle            ;after;7
Lifestyle            ;awards;7
Lifestyle            ;bag;7
Lifestyle            ;bbc;7
Lifestyle            ;being;7
Lifestyle            ;burger;7
Lifestyle            ;cupcake;7
Lifestyle            ;days;7
Lifestyle            ;digs;7
Lifestyle            ;down;7
Lifestyle            ;dress;7
Lifestyle            ;earth;7
Lifestyle            ;eat;7
Lifestyle            ;gets;7
Lifestyle            ;girls;7
Lifestyle            ;haul;7
Lifestyle            ;ice;7
Lifestyle            ;john;7
Lifestyle            ;kitchen;7
Lifestyle            ;kylie;7
Lifestyle            ;lucie;7
Lifestyle            ;madelaine;7
Lifestyle            ;mi;7
Lifestyle            ;never;7
Lifestyle            ;old;7
Lifestyle            ;only;7
Lifestyle            ;petsch;7
Lifestyle            ;sean;7
Lifestyle            ;star;7
Lifestyle            ;story;7
Lifestyle            ;take;7
Lifestyle            ;talk;7
Lifestyle            ;transformation;7
Lifestyle            ;valentines;7
Lifestyle            ;ways;7
Lifestyle            ;wearing;7
Lifestyle            ;wedding;7
Lifestyle            ;yolanda;7
Lifestyle            ;â€“;7
Music                ;aguilera;7
Music                ;alan;7
Music                ;behind;7
Music                ;christina;7
Music                ;cry;7
Music                ;day;7
Music                ;fall;7
Music                ;french;7
Music                ;gomez;7
Music                ;guetta;7
Music                ;heart;7
Music                ;jennifer;7
Music                ;jonas;7
Music                ;lamar;7
Music                ;let;7
Music                ;lil;7
Music                ;little;7
Music                ;montana;7
Music                ;perfect;7
Music                ;selena;7
Music                ;walker;7
Music                ;way;7
Music                ;world;7
Music                ;yourself;7
Science & Politics   ;8;7
Science & Politics   ;being;7
Science & Politics   ;box;7
Science & Politics   ;california;7
Science & Politics   ;cnbc;7
Science & Politics   ;commercial;7
Science & Politics   ;donald;7
Science & Politics   ;galaxy;7
Science & Politics   ;happens;7
Science & Politics   ;interview;7
Science & Politics   ;kilauea;7
Science & Politics   ;know;7
Science & Politics   ;look;7
Science & Politics   ;machine;7
Science & Politics   ;march;7
Science & Politics   ;more;7
Science & Politics   ;people;7
Science & Politics   ;put;7
Science & Politics   ;real;7
Science & Politics   ;rocket;7
Science & Politics   ;roy;7
Science & Politics   ;says;7
Science & Politics   ;star;7
Science & Politics   ;talks;7
Science & Politics   ;tax;7
Science & Politics   ;things;7
Science & Politics   ;tv;7
Science & Politics   ;using;7
Science & Politics   ;wired;7
Sports               ;big;7
Sports               ;conference;7
Sports               ;curry;7
Sports               ;final;7
Sports               ;gets;7
Sports               ;gold;7
Sports               ;january;7
Sports               ;league;7
Sports               ;nov;7
Sports               ;open;7
Sports               ;over;7
Sports               ;starters;7
Sports               ;uefa;7
Sports               ;up;7
Sports               ;will;7
Theater & Animation  ;best;7
Theater & Animation  ;dogs;7
Theater & Animation  ;getting;7
Theater & Animation  ;giant;7
Theater & Animation  ;infinity;7
Theater & Animation  ;just;7
Theater & Animation  ;make;7
Theater & Animation  ;no;7
Theater & Animation  ;part;7
Theater & Animation  ;stop;7
Theater & Animation  ;talks;7
Theater & Animation  ;war;7
Theater & Animation  ;will;7
Entertainment        ;13;6
Entertainment        ;9;6
Entertainment        ;america;6
Entertainment        ;bachelor;6
Entertainment        ;beauty;6
Entertainment        ;car;6
Entertainment        ;child;6
Entertainment        ;chris;6
Entertainment        ;come;6
Entertainment        ;coming;6
Entertainment        ;cw;6
Entertainment        ;days;6
Entertainment        ;did;6
Entertainment        ;doesnt;6
Entertainment        ;favorite;6
Entertainment        ;final;6
Entertainment        ;guy;6
Entertainment        ;heart;6
Entertainment        ;helen;6
Entertainment        ;high;6
Entertainment        ;hulu;6
Entertainment        ;instagram;6
Entertainment        ;jamie;6
Entertainment        ;jones;6
Entertainment        ;jurassic;6
Entertainment        ;karaoke;6
Entertainment        ;keeping;6
Entertainment        ;khloe;6
Entertainment        ;kid;6
Entertainment        ;markle;6
Entertainment        ;mcdonalds;6
Entertainment        ;melania;6
Entertainment        ;moments;6
Entertainment        ;original;6
Entertainment        ;other;6
Entertainment        ;own;6
Entertainment        ;photo;6
Entertainment        ;play;6
Entertainment        ;presents;6
Entertainment        ;prince;6
Entertainment        ;promo;6
Entertainment        ;royal;6
Entertainment        ;set;6
Entertainment        ;shes;6
Entertainment        ;stream;6
Entertainment        ;surprise;6
Entertainment        ;take;6
Entertainment        ;taylor;6
Entertainment        ;teens;6
Entertainment        ;thr;6
Entertainment        ;tries;6
Entertainment        ;watches;6
Entertainment        ;wife;6
Entertainment        ;wild;6
Entertainment        ;â€¢;6
Gaming               ;2;6
Gaming               ;switch;6
Gaming               ;â€“;6
Lifestyle            ;9;6
Lifestyle            ;amazing;6
Lifestyle            ;ball;6
Lifestyle            ;big;6
Lifestyle            ;box;6
Lifestyle            ;brad;6
Lifestyle            ;bread;6
Lifestyle            ;breakfast;6
Lifestyle            ;build;6
Lifestyle            ;but;6
Lifestyle            ;city;6
Lifestyle            ;countries;6
Lifestyle            ;disney;6
Lifestyle            ;everything;6
Lifestyle            ;fake;6
Lifestyle            ;gampp;6
Lifestyle            ;gift;6
Lifestyle            ;gingerbread;6
Lifestyle            ;hacks;6
Lifestyle            ;homemade;6
Lifestyle            ;instagram;6
Lifestyle            ;japan;6
Lifestyle            ;karlie;6
Lifestyle            ;kate;6
Lifestyle            ;kids;6
Lifestyle            ;kitten;6
Lifestyle            ;kloss;6
Lifestyle            ;la;6
Lifestyle            ;last;6
Lifestyle            ;meat;6
Lifestyle            ;music;6
Lifestyle            ;nerdy;6
Lifestyle            ;no;6
Lifestyle            ;nummies;6
Lifestyle            ;pie;6
Lifestyle            ;pregnancy;6
Lifestyle            ;princess;6
Lifestyle            ;quick;6
Lifestyle            ;reveal;6
Lifestyle            ;riverdale;6
Lifestyle            ;secret;6
Lifestyle            ;skin;6
Lifestyle            ;skincare;6
Lifestyle            ;snow;6
Lifestyle            ;some;6
Lifestyle            ;street;6
Lifestyle            ;surprise;6
Lifestyle            ;tested;6
Lifestyle            ;their;6
