day;hour;category_title;count
5;16                                                                                                  ;Science & Politics   ;5
5;16                                                                                                  ;Sports               ;1
5;16                                                                                                  ;Theater & Animation  ;3
5;17                                                                                                  ;Entertainment        ;8
5;17                                                                                                  ;Lifestyle            ;4
5;17                                                                                                  ;Music                ;4
5;17                                                                                                  ;Science & Politics   ;4
5;17                                                                                                  ;Theater & Animation  ;3
5;18                                                                                                  ;Entertainment        ;3
5;18                                                                                                  ;Gaming               ;1
5;18                                                                                                  ;Lifestyle            ;4
5;18                                                                                                  ;Music                ;4
5;18                                                                                                  ;Science & Politics   ;2
5;18                                                                                                  ;Sports               ;1
5;18                                                                                                  ;Theater & Animation  ;2
5;19                                                                                                  ;Entertainment        ;2
5;19                                                                                                  ;Lifestyle            ;1
5;19                                                                                                  ;Music                ;2
5;19                                                                                                  ;Sports               ;1
5;19                                                                                                  ;Theater & Animation  ;1
5;20                                                                                                  ;Entertainment        ;1
5;20                                                                                                  ;Lifestyle            ;1
5;20                                                                                                  ;Music                ;1
5;20                                                                                                  ;Science & Politics   ;2
5;20                                                                                                  ;Sports               ;1
5;20                                                                                                  ;Theater & Animation  ;2
5;21                                                                                                  ;Entertainment        ;2
5;21                                                                                                  ;Lifestyle            ;2
5;21                                                                                                  ;Science & Politics   ;2
5;21                                                                                                  ;Theater & Animation  ;4
5;22                                                                                                  ;Entertainment        ;2
5;22                                                                                                  ;Lifestyle            ;5
5;22                                                                                                  ;Music                ;1
5;22                                                                                                  ;Science & Politics   ;1
5;22                                                                                                  ;Theater & Animation  ;3
5;23                                                                                                  ;Entertainment        ;2
5;23                                                                                                  ;Gaming               ;1
5;23                                                                                                  ;Lifestyle            ;2
5;23                                                                                                  ;Music                ;1
5;23                                                                                                  ;Science & Politics   ;1
5;23                                                                                                  ;Sports               ;1
5;23                                                                                                  ;Theater & Animation  ;1
6;00                                                                                                  ;Entertainment        ;1
6;00                                                                                                  ;Lifestyle            ;1
6;00                                                                                                  ;Music                ;5
6;00                                                                                                  ;Science & Politics   ;1
6;00                                                                                                  ;Sports               ;1
6;00                                                                                                  ;Theater & Animation  ;1
6;01                                                                                                  ;Entertainment        ;1
6;01                                                                                                  ;Lifestyle            ;1
6;01                                                                                                  ;Sports               ;1
6;01                                                                                                  ;Theater & Animation  ;1
6;02                                                                                                  ;Entertainment        ;1
6;02                                                                                                  ;Gaming               ;2
6;02                                                                                                  ;Science & Politics   ;1
6;02                                                                                                  ;Sports               ;1
6;02                                                                                                  ;Theater & Animation  ;3
6;03                                                                                                  ;Entertainment        ;1
6;03                                                                                                  ;Lifestyle            ;3
6;03                                                                                                  ;Music                ;1
6;03                                                                                                  ;Sports               ;1
6;03                                                                                                  ;Theater & Animation  ;1
6;04                                                                                                  ;Entertainment        ;1
6;04                                                                                                  ;Music                ;5
6;04                                                                                                  ;Sports               ;1
6;04                                                                                                  ;Theater & Animation  ;2
6;05                                                                                                  ;Entertainment        ;2
6;05                                                                                                  ;Lifestyle            ;2
6;05                                                                                                  ;Music                ;15
6;05                                                                                                  ;Science & Politics   ;1
6;05                                                                                                  ;Theater & Animation  ;1
6;06                                                                                                  ;Entertainment        ;1
6;06                                                                                                  ;Theater & Animation  ;1
6;07                                                                                                  ;Entertainment        ;1
6;07                                                                                                  ;Lifestyle            ;3
6;07                                                                                                  ;Music                ;1
6;08                                                                                                  ;Entertainment        ;4
6;08                                                                                                  ;Lifestyle            ;2
6;08                                                                                                  ;Music                ;7
6;09                                                                                                  ;Entertainment        ;2
6;09                                                                                                  ;Music                ;2
6;09                                                                                                  ;Theater & Animation  ;1
6;10                                                                                                  ;Entertainment        ;3
6;10                                                                                                  ;Lifestyle            ;1
6;10                                                                                                  ;Music                ;2
6;10                                                                                                  ;Theater & Animation  ;1
6;11                                                                                                  ;Entertainment        ;2
6;11                                                                                                  ;Lifestyle            ;2
6;11                                                                                                  ;Music                ;2
6;11                                                                                                  ;Science & Politics   ;1
6;11                                                                                                  ;Theater & Animation  ;2
6;12                                                                                                  ;Entertainment        ;1
6;12                                                                                                  ;Lifestyle            ;5
6;12                                                                                                  ;Music                ;1
6;12                                                                                                  ;Science & Politics   ;2
6;13                                                                                                  ;Entertainment        ;5
