snippet/title;title;thumbnail_link;hour_of_publish;week_day
Science & Politics   ;Small Stepper Robot Arm Shuffling Sugar Cubes                                                       ;https://i.ytimg.com/vi/1e5vRpODASk/default.jpg       ;04                                                                                                  ;7
Science & Politics   ;Explaining this Complicated Earlobe Repair                                                          ;https://i.ytimg.com/vi/1emNguW5xAA/default.jpg       ;16                                                                                                  ;1
Lifestyle            ;True Facts : Ant Mutualism                                                                          ;https://i.ytimg.com/vi/1h7KV2sjUWY/default.jpg       ;01                                                                                                  ;6
Science & Politics   ;Explosion Takes Place Near New York City Port Authority | TODAY                                     ;https://i.ytimg.com/vi/1HJkmKODN4Y/default.jpg       ;13                                                                                                  ;2
Science & Politics   ;Shaun White reacts to 3rd Olympic gold                                                              ;https://i.ytimg.com/vi/1huD-o3abV8/default.jpg       ;10                                                                                                  ;4
Lifestyle            ;Man Rescues Raccoon Choking From Car Tarp | The Dodo                                                ;https://i.ytimg.com/vi/1iGBHh1q0Kg/default.jpg       ;00                                                                                                  ;1
Entertainment        ;Sanju | Official Trailer | Ranbir Kapoor | Rajkumar Hirani | Releasing on 29th June                 ;https://i.ytimg.com/vi/1J76wN0TPI4/default.jpg       ;07                                                                                                  ;4
Lifestyle            ;Southwest Florida Eagle Cam                                                                         ;https://i.ytimg.com/vi/1JNxKJnPDAs/default_live.jpg  ;13                                                                                                  ;3
Entertainment        ;Benedict Cumberbatch Performs I'm a Little Teapot // Omaze                                          ;https://i.ytimg.com/vi/1kEoS9WwpmA/default.jpg       ;15                                                                                                  ;3
Entertainment        ;Welcome to Hell - SNL                                                                               ;https://i.ytimg.com/vi/1l26UFQ06eQ/default.jpg       ;05                                                                                                  ;1
Entertainment        ;Vintage Vibrating Exercise Belt | RETURN IT OR BURN IT                                              ;https://i.ytimg.com/vi/1lCnG9hWC6w/default.jpg       ;10                                                                                                  ;4
Theater & Animation  ;Conor Lamb's Win, Trump's Space Force and #NationalStudentWalkout: A Closer Look                    ;https://i.ytimg.com/vi/1lPvUKtHBJA/default.jpg       ;01                                                                                                  ;5
Science & Politics   ;We Should Talk About What James Harrison Did...                                                     ;https://i.ytimg.com/vi/1MGNw-Y2QPk/default.jpg       ;19                                                                                                  ;6
Entertainment        ;NERF Putt-Putt Golf Challenge!                                                                      ;https://i.ytimg.com/vi/1mYB8onrPt0/default.jpg       ;22                                                                                                  ;6
Science & Politics   ;Testing Flex Shot - As Seen On TV                                                                   ;https://i.ytimg.com/vi/1ndx3Hl-7ls/default.jpg       ;21                                                                                                  ;1
Lifestyle            ;When it's 5 a.m. at an Irish Wedding - Ho, Ro, the rattlin' Bog                                     ;https://i.ytimg.com/vi/1oFQ76ctfS0/default.jpg       ;11                                                                                                  ;6
Lifestyle            ;BTS Plays With Puppies While Answering Fan Questions                                                ;https://i.ytimg.com/vi/1PhPYr_9zRY/default.jpg       ;16                                                                                                  ;6
