category_title;word;likes;dislikes;comments;views;days_until_trendy
Entertainment        ;nikki;5524.0;422.0;725.0;758220.0;16.0
Science & Politics   ;need;5521.0;239.0;787.0;140480.0;5.0
Science & Politics   ;beaus;5519.0;265.0;1407.0;450201.0;1.0
Science & Politics   ;biden;5519.0;265.0;1407.0;450201.0;1.0
Science & Politics   ;cancer;5519.0;265.0;1407.0;450201.0;1.0
Science & Politics   ;late;5519.0;265.0;1407.0;450201.0;1.0
Science & Politics   ;mccain;5519.0;265.0;1407.0;450201.0;1.0
Science & Politics   ;last;5516.0;380.0;900.0;234431.0;5.0
Entertainment        ;accepted;5514.0;529.0;1741.0;515428.0;7.0
Entertainment        ;ayrton;5514.0;529.0;1741.0;515428.0;7.0
Entertainment        ;harvard;5514.0;529.0;1741.0;515428.0;7.0
Entertainment        ;university;5514.0;529.0;1741.0;515428.0;7.0
Entertainment        ;crisis;5514.0;1396.0;1121.0;350422.0;4.0
Sports               ;will;5513.0;669.0;2893.0;536505.0;5.0
Entertainment        ;brave;5508.0;830.0;615.0;733923.0;10.0
Entertainment        ;charlize;5508.0;830.0;615.0;733923.0;10.0
Entertainment        ;gain;5508.0;830.0;615.0;733923.0;10.0
Entertainment        ;role;5508.0;830.0;615.0;733923.0;10.0
Entertainment        ;theron;5508.0;830.0;615.0;733923.0;10.0
Entertainment        ;weight;5508.0;830.0;615.0;733923.0;10.0
Lifestyle            ;brazils;5508.0;29.0;345.0;76351.0;7.0
Lifestyle            ;gray;5508.0;29.0;345.0;76351.0;7.0
Lifestyle            ;markets;5508.0;29.0;345.0;76351.0;7.0
Lifestyle            ;jr;5503.0;12290.0;2595.0;2294097.0;4.0
Music                ;chance;5497.0;31.0;460.0;65211.0;5.0
Music                ;greyson;5497.0;31.0;460.0;65211.0;5.0
Music                ;low;5497.0;31.0;460.0;65211.0;5.0
Sports               ;sweeping;5488.0;342.0;1713.0;664377.0;5.0
Lifestyle            ;antonio;5488.0;310.0;691.0;629779.0;10.0
Lifestyle            ;banderas;5488.0;310.0;691.0;629779.0;10.0
Lifestyle            ;picasso;5488.0;310.0;691.0;629779.0;10.0
Theater & Animation  ;82;5488.0;61.0;180.0;47752.0;7.0
Theater & Animation  ;journey;5488.0;61.0;180.0;47752.0;7.0
Sports               ;take;5483.0;410.0;2142.0;629938.0;3.0
Sports               ;press;5483.0;226.0;1425.0;263999.0;4.0
Entertainment        ;milking;5474.0;372.0;653.0;340348.0;1.0
Entertainment        ;title;5474.0;372.0;653.0;340348.0;1.0
Theater & Animation  ;gaining;5474.0;91.0;366.0;172205.0;7.0
Science & Politics   ;dollars;5471.0;232.0;1035.0;231632.0;2.0
Theater & Animation  ;kaling;5470.0;399.0;466.0;515759.0;6.0
Theater & Animation  ;mindy;5470.0;399.0;466.0;515759.0;6.0
Entertainment        ;fall;5465.0;1549.0;974.0;2404685.0;6.0
Science & Politics   ;13yearold;5464.0;590.0;772.0;316014.0;9.0
Entertainment        ;subscriber;5451.0;201.0;947.0;74210.0;4.0
Science & Politics   ;lab;5449.0;203.0;561.0;189591.0;4.0
Lifestyle            ;easier;5446.0;330.0;392.0;268241.0;5.0
Lifestyle            ;mornings;5446.0;330.0;392.0;268241.0;5.0
Lifestyle            ;peoples;5444.0;99.0;356.0;190140.0;3.0
Lifestyle            ;subway;5444.0;99.0;356.0;190140.0;3.0
Entertainment        ;gutowski;5440.0;42.0;1038.0;56894.0;6.0
